date,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,rain,surface_pressure,cloud_cover,wind_speed_100m,wind_direction_100m
2022-01-01 00:00:00,2.161,94.78124,-2.226075,0.8,0.8,994.20465,100.0,30.928587,230.19447
2022-01-01 01:00:00,2.361,94.78953,-2.0641043,0.5,0.5,993.1299,100.0,31.89608,233.25935
2022-01-01 02:00:00,2.761,94.80605,-1.6396084,0.5,0.5,992.36084,100.0,32.36398,244.2901
2022-01-01 03:00:00,3.5609999,94.16884,-0.7988403,0.1,0.1,991.7103,100.0,33.39473,258.81125
2022-01-01 04:00:00,4.311,94.20317,0.021172047,0.2,0.2,991.4512,100.0,34.567497,268.80655
2022-01-01 05:00:00,4.911,94.23041,0.5602703,0.4,0.4,991.5794,100.0,35.728977,274.0444
2022-01-01 06:00:00,5.411,93.9242,0.8618231,0.2,0.2,991.80096,100.0,38.344646,282.47046
2022-01-01 07:00:00,5.661,94.26419,0.9004545,0.0,0.0,992.6022,100.0,40.32161,293.13144
2022-01-01 08:00:00,5.511,94.587,0.7092271,0.0,0.0,993.1869,100.0,39.53121,307.60046
2022-01-01 09:00:00,5.561,91.660706,0.9456291,0.0,0.0,993.58386,100.0,36.23682,310.97165
2022-01-01 10:00:00,5.561,91.660706,1.1344051,0.0,0.0,993.97845,100.0,33.233284,309.72607
2022-01-01 11:00:00,5.061,93.57892,0.8335333,0.0,0.0,994.5456,100.0,31.056128,304.6112
2022-01-01 12:00:00,4.511,95.88296,0.7680855,0.0,0.0,994.32153,90.0,27.852928,296.89615
2022-01-01 13:00:00,4.361,96.894196,0.2969346,0.0,0.0,994.7085,90.0,30.821552,292.6714
2022-01-01 14:00:00,4.361,95.54144,0.15165472,0.0,0.0,995.103,90.6,32.527744,297.69937
2022-01-01 15:00:00,4.011,94.5228,0.43648195,0.0,0.0,994.88855,100.0,26.36616,304.9921
2022-01-01 16:00:00,3.611,95.514885,0.020794868,0.7,0.7,994.9675,100.0,26.368616,284.22598
2022-01-01 17:00:00,4.611,93.88604,0.24229765,0.0,0.0,994.81964,100.0,34.154495,302.5175
2022-01-01 18:00:00,4.161,94.52928,0.11830568,0.6,0.6,994.7975,100.0,29.62518,295.94223
