date,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,rain,surface_pressure,cloud_cover,wind_speed_100m,wind_direction_100m
2022-01-01 00:00:00,0.54800004,98.92229,-3.4377246,0.4,0.4,988.5781,100.0,25.772078,221.03525
2022-01-01 01:00:00,0.79800004,98.56826,-2.9879372,0.7,0.7,987.8055,100.0,24.442913,226.1934
2022-01-01 02:00:00,0.848,98.56885,-2.6034281,0.4,0.4,987.1194,100.0,21.749481,245.55606
2022-01-01 03:00:00,1.2479999,98.2197,-2.5063987,0.2,0.2,986.65063,100.0,26.009842,274.76355
2022-01-01 04:00:00,1.798,98.22762,-2.3814447,0.0,0.0,987.27277,95.700005,30.25928,304.82455
2022-01-01 05:00:00,1.648,97.873924,-2.7542336,0.0,0.0,987.8545,100.0,31.311722,314.53424
2022-01-01 06:00:00,1.448,98.222595,-3.1590917,0.0,0.0,989.2208,100.0,33.127823,317.64258
2022-01-01 07:00:00,1.398,98.92973,-2.9149075,0.0,0.0,990.0053,90.0,29.68636,309.09384
2022-01-01 08:00:00,1.5979999,98.57754,-2.5810423,0.0,0.0,990.41046,90.0,28.757215,304.28693
2022-01-01 09:00:00,1.948,98.229774,-2.2513485,0.0,0.0,990.5287,90.0,29.162222,298.7797
2022-01-01 10:00:00,2.348,97.537445,-1.9738884,0.0,0.0,990.4533,97.8,30.7542,295.66516
2022-01-01 11:00:00,2.498,97.19346,-1.9423251,0.1,0.1,990.5604,100.0,31.877792,296.85434
2022-01-01 12:00:00,2.5479999,96.84886,-1.7952678,0.1,0.1,990.6616,100.0,31.557035,297.1496
2022-01-01 13:00:00,3.148,95.49836,-1.2619154,0.0,0.0,991.0896,100.0,33.16692,297.12122
2022-01-01 14:00:00,2.998,96.174446,-0.8104768,0.1,0.1,990.98285,100.0,27.811018,291.25058
2022-01-01 15:00:00,2.948,97.20358,-1.1192207,0.6,0.6,990.8812,100.0,29.940662,288.2172
2022-01-01 16:00:00,3.348,95.5055,-1.5795999,0.4,0.4,991.00275,98.7,37.84283,295.34613
2022-01-01 17:00:00,3.398,93.82749,-2.0081778,0.1,0.1,991.3008,100.0,41.33107,307.56866
2022-01-01 18:00:00,3.498,92.508415,-1.9514143,0.0,0.0,991.7,100.0,41.51254,313.24304
2022-01-01 19:00:00,3.198,92.161674,-2.525207,0.0,0.0,992.3718,100.0,42.87477,319.0857
2022-01-01 20:00:00,2.498,92.449486,-3.7307062,0.0,0.0,993.51294,100.0,46.371574,323.8417
2022-01-01 21:00:00,1.698,90.42055,-5.055804,0.0,0.0,995.1398,90.0,49.87397,337.50732
2022-01-01 22:00:00,0.79800004,90.02432,-6.0279894,0.0,0.0,997.1541,90.0,48.176823,335.73322
2022-01-01 23:00:00,-0.0020000003,88.976204,-6.2801423,0.0,0.0,998.68176,90.0,45.845966,344.9816
2022-01-02 00:00:00,0.49800003,93.004684,-4.9807935,0.1,0.0,999.0063,90.6,38.773186,328.67136
2022-01-02 01:00:00,-0.752,86.31608,-6.9846025,0.0,0.0,1000.40875,85.5,48.50524,335.908
2022-01-02 02:00:00,-2.302,85.506134,-8.195991,0.0,0.0,1001.3002,90.0,45.79222,343.55954
2022-01-02 03:00:00,-2.552,81.68911,-8.718174,0.0,0.0,1002.1705,83.7,40.89606,343.63882
2022-01-02 04:00:00,-3.2020001,77.64661,-9.303285,0.0,0.0,1003.60724,78.299995,36.061146,345.54755
2022-01-02 05:00:00,-4.302,76.57038,-10.023496,0.0,0.0,1004.1307,0.6,30.085318,338.9624
2022-01-02 06:00:00,-5.152,77.62317,-10.9443445,0.0,0.0,1004.8656,24.900002,31.559086,327.57895
2022-01-02 07:00:00,-5.102,75.542885,-10.801962,0.0,0.0,1005.3606,5.1000004,28.357855,331.15744
2022-01-02 08:00:00,-4.602,71.05877,-10.312124,0.0,0.0,1005.7848,4.8,24.387178,328.89127
