date,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,rain,surface_pressure,cloud_cover,wind_speed_100m,wind_direction_100m
2022-01-01 00:00:00,7.9105,84.80445,4.62928,0.0,0.0,1012.6549,100.0,23.86341,236.07016
2022-01-01 01:00:00,8.2605,85.13733,4.805045,0.0,0.0,1012.26154,100.0,25.864943,235.2039
2022-01-01 02:00:00,8.460501,86.04472,4.840518,0.1,0.1,1011.8657,100.0,28.277763,238.5359
2022-01-01 03:00:00,8.6105,87.25231,4.7509193,0.4,0.4,1010.97144,100.0,30.993471,239.26459
2022-01-01 04:00:00,8.460501,91.217995,4.610897,0.3,0.3,1010.67035,100.0,32.47591,234.01923
2022-01-01 05:00:00,8.660501,90.6097,4.998948,0.4,0.4,1010.47394,100.0,31.435646,240.49937
2022-01-01 06:00:00,8.6105,91.54035,5.1667767,0.8,0.8,1010.3737,100.0,29.07989,248.19853
2022-01-01 07:00:00,8.6105,91.22802,5.379797,1.0,1.0,1010.57294,100.0,26.64,251.07526
2022-01-01 08:00:00,8.8105,91.55324,5.6419535,0.8,0.8,1010.1773,100.0,26.459389,255.01831
2022-01-01 09:00:00,8.910501,92.50031,5.6257076,0.7,0.7,1009.9794,100.0,27.908709,263.33344
2022-01-01 10:00:00,9.0105,92.82126,5.5030737,0.4,0.4,1009.38293,100.0,30.096085,263.1301
2022-01-01 11:00:00,9.160501,92.829506,5.4510098,0.2,0.2,1009.18585,100.0,32.777798,271.88815
2022-01-01 12:00:00,9.0605,93.77498,5.7526493,0.1,0.1,1008.38776,100.0,28.883131,280.0493
2022-01-01 13:00:00,9.0605,93.77498,5.7248726,0.3,0.3,1008.4874,100.0,29.250967,283.52316
2022-01-01 14:00:00,9.0605,92.824005,5.9177904,0.6,0.6,1008.4874,100.0,27.792374,286.55716
2022-01-01 15:00:00,8.910501,92.50031,5.691785,0.3,0.3,1008.3855,100.0,27.852928,284.21588
2022-01-01 16:00:00,8.8105,93.12688,5.151785,0.5,0.5,1008.58356,100.0,31.716797,296.27414
2022-01-01 17:00:00,8.660501,92.80198,5.065756,0.8,0.8,1008.68085,100.0,30.871965,301.6512
2022-01-01 18:00:00,8.5605,92.796455,4.633816,0.8,0.8,1008.7793,100.0,33.88019,312.84702
2022-01-01 19:00:00,8.210501,91.51452,4.1258945,0.5,0.5,1008.9735,100.0,33.71338,329.87576
2022-01-01 20:00:00,7.9605,89.32139,3.6673522,0.0,0.0,1009.16907,100.0,33.84766,336.16125
2022-01-01 21:00:00,7.7105,87.46862,3.7797356,0.0,0.0,1009.26526,100.0,29.337238,345.7932
2022-01-01 22:00:00,7.7605,90.85768,3.853613,0.0,0.0,1009.46545,100.0,30.993471,329.2646
2022-01-01 23:00:00,7.9605,89.62956,3.303966,0.0,0.0,1009.56757,90.0,37.51262,322.8001
2022-01-02 00:00:00,7.7605,85.67465,2.7041059,0.2,0.2,1009.8639,84.899994,41.556225,324.51993
2022-01-02 01:00:00,7.4105,86.23476,2.200746,0.1,0.1,1009.9585,100.0,40.83898,326.87027
2022-01-02 02:00:00,7.2105,82.969696,1.2544384,0.5,0.5,1009.9556,100.0,46.12638,330.03336
2022-01-02 03:00:00,6.9105,87.08941,1.116508,0.3,0.3,1010.25037,85.8,45.763916,335.85446
2022-01-02 04:00:00,6.6605,79.753845,0.29093552,0.3,0.3,1010.74493,98.1,48.621326,342.7724
2022-01-02 05:00:00,6.0105,85.187065,-0.43482494,0.5,0.5,1011.53253,46.199997,49.43417,347.38068
2022-01-02 06:00:00,6.0105,83.700356,0.1674447,0.0,0.0,1012.72784,94.2,43.440826,350.4597
2022-01-02 07:00:00,5.9105,81.355774,-0.4786029,0.2,0.2,1013.82196,90.0,46.24424,348.77756
2022-01-02 08:00:00,5.2605,77.03119,-1.7809987,0.1,0.1,1015.0081,90.0,47.820415,350.46683
2022-01-02 09:00:00,4.7105,75.02591,-2.3512993,0.1,0.1,1015.5978,90.0,46.22882,351.49136
2022-01-02 10:00:00,4.3104997,72.5497,-2.461237,0.0,0.0,1015.69165,84.6,42.56229,351.7329
2022-01-02 11:00:00,4.1605,67.661766,-2.6956053,0.0,0.0,1016.2871,67.799995,41.730507,349.5626
2022-01-02 12:00:00,4.3605,69.205795,-2.0629034,0.0,0.0,1016.88794,65.7,38.548588,348.6901
2022-01-02 13:00:00,4.1105,68.14861,-2.0215008,0.0,0.0,1017.58124,85.5,35.33506,351.20953
2022-01-02 14:00:00,3.8105001,66.59879,-1.8049178,0.0,0.0,1018.1748,79.2,30.811037,353.29025
2022-01-02 15:00:00,3.5105002,66.77808,-1.5933864,0.0,0.0,1018.36957,87.6,25.570139,358.38647
2022-01-02 16:00:00,3.0105002,72.03618,-1.603075,0.0,0.0,1018.9598,66.299995,23.444265,3.5213907
2022-01-02 17:00:00,2.6605,74.66253,-1.3268261,0.0,0.0,1019.35315,53.1,18.709612,11.093693
2022-01-02 18:00:00,1.9104999,81.991264,-1.2094283,0.0,0.0,1019.54144,60.3,12.879752,26.564985
2022-01-02 19:00:00,0.6105,88.37978,-2.5379634,0.0,0.0,1019.9207,72.6,8.714677,51.709793
2022-01-02 20:00:00,0.7105,88.388756,-2.3569365,0.0,0.0,1019.5235,79.799995,10.594036,80.21766
2022-01-02 21:00:00,0.41050002,88.038475,-2.8188524,0.0,0.0,1019.1208,23.7,10.495713,95.906044
2022-01-02 22:00:00,0.2605,89.65341,-3.2963352,0.0,0.0,1018.5209,49.2,10.308831,102.09474
2022-01-02 23:00:00,0.81049997,90.0253,-2.7279658,0.0,0.0,1018.0312,67.5,9.339208,117.552734
2022-01-03 00:00:00,2.5105002,76.857124,-1.548459,0.0,0.0,1016.8609,65.4,11.212135,132.39738
2022-01-03 01:00:00,2.7605002,80.33543,-1.1161466,0.0,0.0,1015.96814,80.4,15.7908325,155.77226
2022-01-03 02:00:00,3.6105,83.10878,0.184309,0.0,0.0,1014.6857,64.2,18.751125,176.6982
2022-01-03 03:00:00,4.9105,77.528435,0.9259014,0.0,0.0,1013.70807,100.0,26.260265,213.25438
2022-01-03 04:00:00,6.1605,72.89806,1.3032541,0.0,0.0,1012.929,100.0,32.777794,218.7581
2022-01-03 05:00:00,6.6105,73.765854,1.7384381,0.0,0.0,1012.13885,100.0,33.01418,207.96214
2022-01-03 06:00:00,7.4605,76.573616,2.2242622,0.0,0.0,1011.254,100.0,38.093716,210.68509
2022-01-03 07:00:00,8.3605,81.68395,3.31292,0.0,0.0,1010.9679,100.0,39.888584,216.55972
2022-01-03 08:00:00,8.7605,83.73691,3.6538448,0.0,0.0,1009.8779,100.0,41.38747,205.22762
2022-01-03 09:00:00,9.460501,83.24647,4.150341,0.0,0.0,1008.89124,60.0,43.022636,204.20589
2022-01-03 10:00:00,9.960501,82.45656,3.9959831,0.0,0.0,1007.3044,100.0,49.646072,219.114
2022-01-03 11:00:00,10.1105,85.33799,4.780957,0.1,0.1,1006.70856,100.0,46.226017,232.59456
2022-01-03 12:00:00,9.6105,89.45323,5.2031956,0.0,0.0,1005.60614,100.0,38.046055,235.40764
2022-01-03 13:00:00,9.8105,87.36549,5.450305,0.1,0.1,1005.3098,100.0,37.24043,240.4613
2022-01-03 14:00:00,9.5105,89.14145,5.134692,0.1,0.1,1004.60846,100.0,38.85666,246.52258
2022-01-03 15:00:00,9.3605,90.04454,5.680911,0.0,0.0,1004.20807,100.0,32.69664,249.37004
2022-01-03 16:00:00,9.3605,89.12924,5.8017387,0.0,0.0,1004.50696,100.0,32.112724,266.14328
2022-01-03 17:00:00,9.3605,89.12924,6.2853756,0.0,0.0,1004.50696,100.0,27.009598,271.5275
2022-01-03 18:00:00,8.960501,90.63102,6.3909388,0.0,0.0,1004.10284,82.8,23.313995,283.39252
2022-01-03 19:00:00,8.460501,90.28558,6.1543703,0.0,0.0,1004.3948,100.0,21.288757,288.74142
2022-01-03 20:00:00,8.6105,89.68036,6.4801245,0.0,0.0,1004.3969,100.0,19.559633,276.3401
2022-01-03 21:00:00,8.8105,91.55324,6.621361,0.0,0.0,1004.3002,100.0,20.929596,266.0549
2022-01-03 22:00:00,9.0105,92.19179,6.861455,0.0,0.0,1004.00385,100.0,20.523157,254.74483
2022-01-03 23:00:00,9.210501,92.83225,7.303073,0.0,0.0,1004.0067,100.0,19.70815,260.53775
2022-01-04 00:00:00,9.460501,91.28448,6.895768,0.2,0.2,1003.9105,100.0,26.260265,303.25436
2022-01-04 01:00:00,8.960501,88.4892,6.582588,2.9,2.9,1004.50134,100.0,20.240198,321.49933
2022-01-04 02:00:00,7.8605,91.80682,5.214939,7.5,7.5,1004.58575,100.0,16.904673,333.43503
2022-01-04 03:00:00,7.2105,93.68541,6.1525497,3.3,3.3,1003.97894,43.199997,7.072878,284.74362
2022-01-04 04:00:00,5.7605,95.92341,4.0116262,0.0,0.0,1004.45685,58.199997,10.823973,273.814
2022-01-04 05:00:00,6.1605,93.959625,3.8627768,0.0,0.0,1004.96027,91.5,20.774214,261.02747
2022-01-04 06:00:00,8.6105,86.65445,5.7505913,0.3,0.3,1005.39307,15.9,25.862436,286.16458
2022-01-04 07:00:00,9.410501,80.70281,4.8461123,0.0,0.0,1006.2009,30.900002,37.05902,309.87677
2022-01-04 08:00:00,9.1105,80.94044,4.507803,0.0,0.0,1006.89417,100.0,34.411556,317.96832
2022-01-04 09:00:00,8.7605,79.50265,4.014744,0.1,0.1,1007.3876,96.6,32.726357,320.35587
2022-01-04 10:00:00,8.5605,79.47345,3.8702002,0.1,0.1,1007.5839,93.0,32.61727,322.6241
2022-01-04 11:00:00,8.5105,78.91527,3.587162,0.0,0.0,1007.9817,90.0,33.933697,318.87134
2022-01-04 12:00:00,8.660501,78.66379,4.43242,0.0,0.0,1007.98364,54.0,28.266304,316.5481
2022-01-04 13:00:00,8.7605,80.056046,4.607422,0.0,0.0,1008.8818,39.3,28.373846,305.7068
2022-01-04 14:00:00,8.160501,81.941696,4.435396,0.0,0.0,1009.57043,40.5,27.757378,303.8962
2022-01-04 15:00:00,7.4105,86.23476,4.8004208,0.0,0.0,1009.7593,13.5,19.602652,314.256
2022-01-04 16:00:00,5.1605,90.355545,2.3162136,0.0,0.0,1010.22565,29.7,14.007655,295.90643
2022-01-04 17:00:00,7.6605,82.1622,5.4073763,0.0,0.0,1010.6592,15.600001,9.0,270.0
2022-01-04 18:00:00,7.1105,85.01058,4.996477,0.0,0.0,1010.25323,3.9,6.618519,224.9999
2022-01-04 19:00:00,3.8605,94.516304,0.91829586,0.0,0.0,1010.2069,14.400001,14.003029,197.96924
2022-01-04 20:00:00,6.6605,90.15179,3.7679358,0.0,0.0,1010.5457,29.100002,24.144167,200.05618
2022-01-04 21:00:00,7.2605,88.34129,4.146167,0.0,0.0,1009.9563,34.5,26.079508,186.3401
2022-01-04 22:00:00,7.5105,89.59417,4.1661253,0.0,0.0,1009.3621,18.300001,29.528778,178.60284
2022-01-04 23:00:00,7.5604997,89.9081,3.9478617,0.0,0.0,1009.0642,42.300003,32.2034,174.22577
2022-01-05 00:00:00,8.1105,89.02658,4.1229744,0.0,0.0,1008.2749,33.9,36.302925,172.59319
2022-01-05 01:00:00,8.3605,86.03439,4.0356855,0.0,0.0,1007.78033,86.100006,39.160656,173.1364
2022-01-05 02:00:00,8.710501,84.60163,4.1007233,0.0,0.0,1007.08777,89.700005,40.957813,169.8754
2022-01-05 03:00:00,9.3105,83.51466,4.4281807,0.0,0.0,1006.2994,58.800003,44.44943,171.14807
2022-01-05 04:00:00,9.210501,88.20894,4.4057693,0.0,0.0,1005.70013,100.0,47.715958,174.80566
2022-01-05 05:00:00,9.960501,89.178,5.1473293,0.0,0.0,1005.51135,100.0,46.552883,183.99083
2022-01-05 06:00:00,10.460501,87.72267,5.9925222,0.0,0.0,1005.9167,99.0,43.274933,196.9276
2022-01-05 07:00:00,11.0605,86.60135,6.8907423,0.0,0.0,1006.22375,61.5,40.28141,204.27443
2022-01-05 08:00:00,11.410501,86.92767,7.4756165,0.0,0.0,1006.32806,100.0,36.927643,209.81407
2022-01-05 09:00:00,11.3605,87.80418,7.6165247,0.0,0.0,1006.3271,96.6,35.346058,213.36638
2022-01-05 10:00:00,11.3605,87.50954,7.739934,0.0,0.0,1006.12787,79.50001,33.56312,215.39488
2022-01-05 11:00:00,11.160501,88.08207,7.6029987,0.0,0.0,1005.72687,18.9,32.978832,216.11943
2022-01-05 12:00:00,11.160501,87.78614,7.810236,0.0,0.0,1005.0296,30.000002,32.169178,211.73347
2022-01-05 13:00:00,11.1105,87.48647,7.798134,0.0,0.0,1005.2282,28.800001,31.303444,210.39865
2022-01-05 14:00:00,10.3105,90.72612,7.256263,0.0,0.0,1005.3167,29.1,30.918108,207.75845
2022-01-05 15:00:00,10.0605,92.25401,6.9060745,0.0,0.0,1005.3133,7.5000005,33.00436,206.56499
2022-01-05 16:00:00,10.1105,93.509514,6.6586275,0.0,0.0,1005.11475,26.099998,36.707645,206.81627
2022-01-05 17:00:00,10.3105,92.89223,6.616379,0.0,0.0,1005.4163,35.4,38.64764,207.75845
2022-01-05 18:00:00,10.3105,92.26874,6.7060738,0.0,0.0,1005.71515,6.6,37.84283,207.78383
2022-01-05 19:00:00,10.3105,92.26874,6.8753605,0.0,0.0,1005.9144,11.7,36.386723,207.07199
2022-01-05 20:00:00,10.3605,92.271675,6.9046955,0.0,0.0,1005.9151,0.6,36.707645,206.81627
2022-01-05 21:00:00,10.5605,91.9736,7.19493,0.0,0.0,1005.91785,3.9,36.61573,210.09415
2022-01-05 22:00:00,10.710501,91.67417,7.4890614,0.0,0.0,1006.119,9.3,35.68542,210.96368
2022-01-05 23:00:00,10.960501,90.46704,7.6362123,0.0,0.0,1006.0229,40.800003,37.107944,210.29637
2022-01-06 00:00:00,11.0605,90.170944,7.513383,0.0,0.0,1005.4268,55.5,39.33072,203.7495
2022-01-06 01:00:00,11.2605,89.28258,7.597762,0.0,0.0,1005.3298,29.7,39.777966,205.1735
2022-01-06 02:00:00,11.3105,88.3918,7.4389715,0.0,0.0,1005.1311,45.3,41.216457,207.01259
2022-01-06 03:00:00,11.2605,87.50032,7.5119696,0.0,0.0,1005.2301,27.6,39.65233,209.35765
2022-01-06 04:00:00,11.1105,87.781624,7.5196266,0.0,0.0,1005.4274,24.3,38.044353,209.4758
2022-01-06 05:00:00,11.0605,88.37025,7.519783,0.0,0.0,1005.6261,68.4,37.854813,212.17863
2022-01-06 06:00:00,11.2605,88.38749,7.6128883,0.0,0.0,1005.9274,100.0,38.741417,213.24709
2022-01-06 07:00:00,11.8605,86.97083,7.9578333,0.0,0.0,1006.2344,94.2,40.438755,214.11452
2022-01-06 08:00:00,12.210501,86.135765,8.125969,0.0,0.0,1006.2392,44.100002,41.736717,214.10132
2022-01-06 09:00:00,12.460501,86.449165,8.895542,0.0,0.0,1006.2426,90.3,39.246605,217.92113
2022-01-06 10:00:00,12.410501,86.44422,8.919595,0.0,0.0,1005.9432,91.8,37.33601,219.5226
2022-01-06 11:00:00,12.5105,85.87886,9.237127,0.0,0.0,1005.7451,49.5,34.57687,218.65984
2022-01-06 12:00:00,12.3605,84.43857,9.411303,0.0,0.0,1005.34454,9.3,32.151043,214.04597
2022-01-06 13:00:00,12.2605,83.86289,9.137817,0.0,0.0,1005.7417,7.2,32.151043,214.04597
2022-01-06 14:00:00,11.460501,86.34968,8.519743,0.0,0.0,1006.1294,18.9,31.75355,212.9694
2022-01-06 15:00:00,10.8605,88.95047,8.12219,0.0,0.0,1006.32056,2.4,30.376833,211.42952
2022-01-06 16:00:00,10.6105,89.834404,8.011179,0.0,0.0,1006.6159,7.8,29.15778,212.90524
2022-01-06 17:00:00,10.410501,90.42755,7.921998,0.0,0.0,1006.91187,2.6999998,27.212759,207.58194
2022-01-06 18:00:00,10.0605,91.63309,7.781966,0.0,0.0,1007.0067,2.7,25.14852,203.6294
2022-01-06 19:00:00,9.7605,92.23631,7.647373,0.0,0.0,1007.4011,7.8,22.206486,199.90384
2022-01-06 20:00:00,9.6105,92.54032,7.519554,0.0,0.0,1007.698,3.3000002,21.288757,198.74144
2022-01-06 21:00:00,9.3105,93.15318,7.465107,0.0,0.0,1008.192,16.5,18.556595,198.08354
2022-01-06 22:00:00,8.8605,94.08475,7.1029387,0.0,0.0,1008.6837,21.300001,16.09969,206.56499
2022-01-06 23:00:00,8.3105,95.35204,6.744506,0.0,0.0,1008.7758,29.7,14.773164,223.02507
2022-01-07 00:00:00,10.0105,94.136894,8.918511,0.0,0.0,1009.4965,30.000002,9.3876505,274.39862
2022-01-07 01:00:00,7.1105,98.63915,4.8930054,0.0,0.0,1009.7552,53.7,13.281023,327.17145
2022-01-07 02:00:00,8.3605,96.005684,5.9740667,0.0,0.0,1010.37024,29.400002,22.782625,354.55975
2022-01-07 03:00:00,7.7605,96.64572,4.5329895,0.0,0.0,1010.95966,89.4,27.44513,4.5139127
2022-01-07 04:00:00,6.9605,96.29262,3.3481092,0.0,0.0,1011.5459,100.0,27.66384,18.19926
2022-01-07 05:00:00,6.5604997,95.61804,2.9475555,0.0,0.0,1012.2375,100.0,26.427528,24.120981
2022-01-07 06:00:00,6.4605,92.35778,2.2870302,0.0,0.0,1013.2323,100.0,29.830078,17.560366
2022-01-07 07:00:00,6.5105,90.14051,2.2072086,0.0,0.0,1014.2291,100.0,28.576382,19.119822
2022-01-07 08:00:00,6.9605,86.79141,2.601591,0.0,0.0,1014.6338,87.9,28.348713,17.744766
2022-01-07 09:00:00,7.5105,82.14277,2.8098173,0.0,0.0,1015.04,100.0,30.563978,15.018415
2022-01-07 10:00:00,7.9105,75.04923,3.0838013,0.0,0.0,1015.2449,84.3,30.222849,12.380747
2022-01-07 11:00:00,7.7605,70.40018,2.6995072,0.0,0.0,1015.2429,96.3,30.718357,10.124612
2022-01-07 12:00:00,7.4605,69.59371,2.6931038,0.0,0.0,1016.23456,81.9,27.691935,15.843147
2022-01-07 13:00:00,7.2605,67.83621,2.824913,0.0,0.0,1016.9291,84.00001,24.269983,20.854538
2022-01-07 14:00:00,6.7605,71.21056,2.8073559,0.0,0.0,1017.5197,73.8,22.79684,21.297422
2022-01-07 15:00:00,6.6105,72.72219,2.7837067,0.0,0.0,1018.3147,74.100006,22.127556,21.974566
2022-01-07 16:00:00,6.3605,73.72044,2.4087543,0.0,0.0,1019.00806,39.6,23.34455,19.832224
2022-01-07 17:00:00,5.4105,77.8861,1.2801237,0.0,0.0,1019.4927,26.100002,25.809765,22.988754
2022-01-07 18:00:00,4.5105,82.33406,0.34130192,0.0,0.0,1019.67883,16.800001,27.169865,32.005356
2022-01-07 19:00:00,3.8105001,84.03347,-0.36707926,0.0,0.0,1020.0673,60.300003,26.493652,42.797382
2022-01-07 20:00:00,3.4605,83.99174,-0.8060703,0.0,0.0,1020.1618,100.0,27.511158,47.12111
2022-01-07 21:00:00,3.4105,81.30523,-1.0842905,0.0,0.0,1020.26056,100.0,27.333935,49.80802
2022-01-07 22:00:00,3.2105,80.109406,-1.3483484,0.0,0.0,1020.1579,100.0,27.288855,53.583534
2022-01-07 23:00:00,3.2105,79.53085,-1.1031487,0.0,0.0,1019.95874,100.0,25.264202,57.215733
2022-01-08 00:00:00,3.5605001,76.75145,-0.7044754,0.0,0.0,1019.96387,90.0,22.90743,59.80847
2022-01-08 01:00:00,3.6105,76.48167,-0.2447958,0.0,0.0,1019.666,100.0,17.555307,61.858498
